,Infected,score,infected_scaled,score_scaled
2020-11-30,1425.0,0.0,0.04714920833008346,0.005
2020-11-30,1425.0,0.0,0.04714920833008346,0.005
2020-12-01,2014.0,-4.0,0.07011933546525231,0.0
2020-12-01,2014.0,0.0,0.07011933546525231,0.005
2020-12-01,2014.0,4.0,0.07011933546525231,0.01
2020-12-02,2419.0,-2.0,0.08591373527805943,0.0025
2020-12-02,2419.0,-4.0,0.08591373527805943,0.0
2020-12-02,2419.0,3.0,0.08591373527805943,0.00875
2020-12-02,2419.0,3.0,0.08591373527805943,0.00875
2020-12-02,2419.0,2.0,0.08591373527805943,0.0075
2020-12-02,2419.0,-2.0,0.08591373527805943,0.0025
2020-12-03,2505.0,-3.0,0.08926760783090243,0.00125
2020-12-03,2505.0,-3.0,0.08926760783090243,0.00125
2020-12-03,2505.0,-2.0,0.08926760783090243,0.0025
2020-12-03,2505.0,0.0,0.08926760783090243,0.005
2020-12-04,2435.0,-4.0,0.08653771156696045,0.0
2020-12-04,2435.0,-3.0,0.08653771156696045,0.00125
2020-12-04,2435.0,0.0,0.08653771156696045,0.005
2020-12-05,2496.0,-3.0,0.0889166211683956,0.00125
2020-12-05,2496.0,-3.0,0.0889166211683956,0.00125
2020-12-06,2010.0,-1.0,0.06996334139302707,0.00375
2020-12-06,2010.0,0.0,0.06996334139302707,0.005
2020-12-07,1502.0,1.0,0.05015209422041962,0.00625
2020-12-07,1502.0,1.0,0.05015209422041962,0.00625
2020-12-07,1502.0,1.0,0.05015209422041962,0.00625
2020-12-07,1502.0,-1.0,0.05015209422041962,0.00375
2020-12-08,2166.0,-3.0,0.07604711020981203,0.00125
2020-12-08,2166.0,-3.0,0.07604711020981203,0.00125
2020-12-08,2166.0,3.0,0.07604711020981203,0.00875
2020-12-08,2166.0,-2.0,0.07604711020981203,0.0025
2020-12-09,2801.0,-4.0,0.10081116917557133,0.0
2020-12-09,2801.0,-1.0,0.10081116917557133,0.00375
2020-12-10,2966.0,-4.0,0.10724592465486311,0.0
2020-12-10,2966.0,-2.0,0.10724592465486311,0.0025
2020-12-10,2966.0,0.0,0.10724592465486311,0.005
2020-12-10,2966.0,-4.0,0.10724592465486311,0.0
2020-12-11,2795.0,-3.0,0.10057717806723344,0.00125
2020-12-11,2795.0,-2.0,0.10057717806723344,0.0025
2020-12-11,2795.0,-2.0,0.10057717806723344,0.0025
2020-12-11,2795.0,4.0,0.10057717806723344,0.01
2020-12-11,2795.0,1.0,0.10057717806723344,0.00625
2020-12-11,2795.0,-4.0,0.10057717806723344,0.0
2020-12-12,3010.0,-4.0,0.10896185944934092,0.0
2020-12-12,3010.0,0.0,0.10896185944934092,0.005
2020-12-13,2375.0,-3.0,0.08419780048358162,0.00125
2020-12-13,2375.0,-3.0,0.08419780048358162,0.00125
2020-12-13,2375.0,-3.0,0.08419780048358162,0.00125
2020-12-14,1681.0,-4.0,0.0571328289524998,0.0
2020-12-14,1681.0,-2.0,0.0571328289524998,0.0025
2020-12-14,1681.0,-3.0,0.0571328289524998,0.00125
2020-12-14,1681.0,0.0,0.0571328289524998,0.005
2020-12-14,1681.0,-1.0,0.0571328289524998,0.00375
2020-12-15,2400.0,2.0,0.08517276343498947,0.0075
2020-12-15,2400.0,4.0,0.08517276343498947,0.01
2020-12-15,2400.0,1.0,0.08517276343498947,0.00625
2020-12-15,2400.0,0.0,0.08517276343498947,0.005
2020-12-15,2400.0,2.0,0.08517276343498947,0.0075
2020-12-15,2400.0,-4.0,0.08517276343498947,0.0
2020-12-16,2990.0,-4.0,0.10818188908821465,0.0
2020-12-16,2990.0,-3.0,0.10818188908821465,0.00125
2020-12-16,2990.0,0.0,0.10818188908821465,0.005
2020-12-16,2990.0,-4.0,0.10818188908821465,0.0
2020-12-17,3206.0,-4.0,0.11660556898837843,0.0
2020-12-17,3206.0,-4.0,0.11660556898837843,0.0
2020-12-17,3206.0,-2.0,0.11660556898837843,0.0025
2020-12-17,3206.0,-4.0,0.11660556898837843,0.0
2020-12-17,3206.0,-1.0,0.11660556898837843,0.00375
2020-12-17,3206.0,-2.0,0.11660556898837843,0.0025
2020-12-17,3206.0,0.0,0.11660556898837843,0.005
2020-12-18,2832.0,-3.0,0.10202012323531706,0.00125
2020-12-18,2832.0,-3.0,0.10202012323531706,0.00125
2020-12-18,2832.0,0.0,0.10202012323531706,0.005
2020-12-19,3040.0,-1.0,0.11013181499103034,0.00375
2020-12-19,3040.0,-2.0,0.11013181499103034,0.0025
2020-12-20,2398.0,-3.0,0.08509476639887684,0.00125
2020-12-20,2398.0,0.0,0.08509476639887684,0.005
2020-12-21,1791.0,-3.0,0.06142266593869433,0.00125
2020-12-21,1791.0,-4.0,0.06142266593869433,0.0
2020-12-21,1791.0,0.0,0.06142266593869433,0.005
2020-12-21,1791.0,-1.0,0.06142266593869433,0.00375
2020-12-22,2674.0,-3.0,0.09585835738241946,0.00125
2020-12-22,2674.0,-4.0,0.09585835738241946,0.0
2020-12-22,2674.0,-2.0,0.09585835738241946,0.0025
2020-12-23,3270.0,-4.0,0.11910147414398253,0.0
2020-12-23,3270.0,-2.0,0.11910147414398253,0.0025
2020-12-23,3270.0,0.0,0.11910147414398253,0.005
2020-12-23,3270.0,0.0,0.11910147414398253,0.005
2020-12-23,3270.0,0.0,0.11910147414398253,0.005
2020-12-23,3270.0,-1.0,0.11910147414398253,0.00375
2020-12-23,3270.0,4.0,0.11910147414398253,0.01
2020-12-24,3797.0,-1.0,0.13965369315965992,0.00375
2020-12-24,3797.0,-4.0,0.13965369315965992,0.0
2020-12-24,3797.0,-1.0,0.13965369315965992,0.00375
2020-12-25,3934.0,-3.0,0.14499649013337493,0.00125
2020-12-26,3702.0,3.0,0.13594883394431012,0.00875
2020-12-26,3702.0,-2.0,0.13594883394431012,0.0025
2020-12-26,3702.0,2.0,0.13594883394431012,0.0075
2020-12-26,3702.0,-4.0,0.13594883394431012,0.0
2020-12-26,3702.0,-2.0,0.13594883394431012,0.0025
2020-12-27,2942.0,0.0,0.10630996022151158,0.005
2020-12-27,2942.0,-2.0,0.10630996022151158,0.0025
2020-12-27,2942.0,-4.0,0.10630996022151158,0.0
2020-12-27,2942.0,-1.0,0.10630996022151158,0.00375
2020-12-28,2397.0,4.0,0.08505576788082053,0.01
2020-12-28,2397.0,-1.0,0.08505576788082053,0.00375
2020-12-28,2397.0,-4.0,0.08505576788082053,0.0
2020-12-28,2397.0,-1.0,0.08505576788082053,0.00375
2020-12-29,3609.0,1.0,0.13232197176507293,0.00625
2020-12-29,3609.0,-1.0,0.13232197176507293,0.00375
2020-12-29,3609.0,-1.0,0.13232197176507293,0.00375
2020-12-29,3609.0,4.0,0.13232197176507293,0.01
2020-12-29,3609.0,-4.0,0.13232197176507293,0.0
2020-12-30,3884.0,4.0,0.14304656423055923,0.01
2020-12-30,3884.0,-1.0,0.14304656423055923,0.00375
2020-12-30,3884.0,0.0,0.14304656423055923,0.005
2020-12-31,4500.0,-1.0,0.16706965135324858,0.00375
2020-12-31,4500.0,0.0,0.16706965135324858,0.005
2020-12-31,4500.0,0.0,0.16706965135324858,0.005
2020-12-31,4500.0,-3.0,0.16706965135324858,0.00125
2021-01-02,3057.0,2.0,0.11079478979798768,0.0075
2021-01-02,3057.0,-1.0,0.11079478979798768,0.00375
2021-01-02,3057.0,3.0,0.11079478979798768,0.00875
2021-01-02,3057.0,0.0,0.11079478979798768,0.005
2021-01-03,3139.0,-3.0,0.11399266827860541,0.00125
2021-01-04,3330.0,-2.0,0.12144138522736136,0.0025
2021-01-04,3330.0,-4.0,0.12144138522736136,0.0
2021-01-05,4958.0,1.0,0.1849309726230403,0.00625
2021-01-05,4958.0,-2.0,0.1849309726230403,0.0025
2021-01-05,4958.0,0.0,0.1849309726230403,0.005
2021-01-05,4958.0,1.0,0.1849309726230403,0.00625
2021-01-05,4958.0,3.0,0.1849309726230403,0.00875
2021-01-05,4958.0,-4.0,0.1849309726230403,0.0
2021-01-06,6066.0,-3.0,0.2281413306294361,0.00125
2021-01-06,6066.0,-1.0,0.2281413306294361,0.00375
2021-01-06,6066.0,-2.0,0.2281413306294361,0.0025
2021-01-06,6066.0,2.0,0.2281413306294361,0.0075
2021-01-06,6066.0,3.0,0.2281413306294361,0.00875
